query,index_size,threads,nprobe,batch_size,num_retrieved_docs,avg_query_time,best_retrieved_ids
172,300m,72,256,1,5,2.221120672941208,"[41425998, 200860855, 234428732, 39364833, 46478980]"
173,300m,72,256,1,5,2.221120672941208,"[123334203, 123334202, 178086797, 87336891, 46268388]"
174,300m,72,256,1,5,2.221120672941208,"[66236774, 110095053, 171769894, 66243966, 240563277]"
175,300m,72,256,1,5,2.221120672941208,"[117436995, 207151906, 118266554, 47731185, 118032078]"
176,300m,72,256,1,5,2.221120672941208,"[125805490, 150867596, 189479449, 225892869, 92817256]"
177,300m,72,256,1,5,2.221120672941208,"[208676328, 152121484, 150813866, 109083023, 273375025]"
178,300m,72,256,1,5,2.221120672941208,"[267011792, 172532783, 95806496, 180969083, 291520019]"
179,300m,72,256,1,5,2.221120672941208,"[272075377, 190953394, 272075266, 218790679, 23390111]"
180,300m,72,256,1,5,2.221120672941208,"[246634158, 222413070, 157783429, 94727527, 28150409]"
181,300m,72,256,1,5,2.221120672941208,"[164775229, 253605116, 207422151, 59388290, 259765943]"
182,300m,72,256,1,5,2.221120672941208,"[254509575, 130564082, 273043630, 127662267, 137902141]"
183,300m,72,256,1,5,2.221120672941208,"[103572512, 218500680, 69235722, 227639106, 23055104]"
184,300m,72,256,1,5,2.221120672941208,"[202398807, 140199749, 49493021, 285291463, 285208869]"
185,300m,72,256,1,5,2.221120672941208,"[48954299, 146461299, 105507382, 248530841, 236721360]"
186,300m,72,256,1,5,2.221120672941208,"[95901209, 250181636, 250214702, 188091529, 28348846]"
187,300m,72,256,1,5,2.221120672941208,"[199342980, 84693467, 175992831, 84867293, 250757343]"
188,300m,72,256,1,5,2.221120672941208,"[168176079, 116216281, 117751874, 115872543, 168295608]"
189,300m,72,256,1,5,2.221120672941208,"[6355308, 194819497, 61692006, 273340585, 273536667]"
190,300m,72,256,1,5,2.221120672941208,"[191845909, 35045917, 130554732, 231678489, 76111270]"
191,300m,72,256,1,5,2.221120672941208,"[171442642, 32631619, 239646402, 231621654, 52112453]"
192,300m,72,256,1,5,2.221120672941208,"[117568705, 2916007, 66118274, 98581984, 42207456]"
193,300m,72,256,1,5,2.221120672941208,"[226255915, 260666, 266275898, 153495727, 119140561]"
194,300m,72,256,1,5,2.221120672941208,"[176112770, 10172977, 235126155, 11734662, 176079291]"
195,300m,72,256,1,5,2.221120672941208,"[284531044, 143120312, 222551320, 19060061, 260877789]"
196,300m,72,256,1,5,2.221120672941208,"[82312785, 168998111, 120938282, 235087676, 95675903]"
197,300m,72,256,1,5,2.221120672941208,"[270471031, 224732835, 3086313, 111209499, 128335353]"
198,300m,72,256,1,5,2.221120672941208,"[117765081, 190182926, 207357695, 57539513, 150867596]"
199,300m,72,256,1,5,2.221120672941208,"[39345817, 161356029, 54506849, 44487264, 161446401]"
200,300m,72,256,1,5,2.221120672941208,"[175096196, 260860729, 296481143, 100710622, 199360428]"
201,300m,72,256,1,5,2.221120672941208,"[192395646, 90855074, 37233593, 37233594, 90855069]"
202,300m,72,256,1,5,2.221120672941208,"[97447570, 30899884, 171581726, 189127591, 243250532]"
203,300m,72,256,1,5,2.221120672941208,"[205637431, 39186597, 73846514, 240826567, 120891446]"
204,300m,72,256,1,5,2.221120672941208,"[111196413, 205813791, 119116526, 9966406, 259985874]"
205,300m,72,256,1,5,2.221120672941208,"[245250692, 239518695, 73491323, 262741634, 220129541]"
206,300m,72,256,1,5,2.221120672941208,"[190700844, 136395417, 75870846, 267748222, 263187519]"
207,300m,72,256,1,5,2.221120672941208,"[80352651, 269933265, 172759973, 279711769, 157303392]"
208,300m,72,256,1,5,2.221120672941208,"[191219637, 274196408, 249925343, 237006714, 150856497]"
209,300m,72,256,1,5,2.221120672941208,"[126485989, 74788566, 192111966, 157664964, 32277857]"
210,300m,72,256,1,5,2.221120672941208,"[282181337, 178507622, 228138065, 250579398, 250574266]"
211,300m,72,256,1,5,2.221120672941208,"[169826821, 191842553, 705389, 20298494, 238211637]"
212,300m,72,256,1,5,2.221120672941208,"[291297814, 44796746, 221844245, 71668132, 113037249]"
213,300m,72,256,1,5,2.221120672941208,"[204398649, 206269197, 294209137, 95669075, 232092470]"
214,300m,72,256,1,5,2.221120672941208,"[267139604, 240944350, 200675898, 98637538, 269399973]"
215,300m,72,256,1,5,2.221120672941208,"[186621488, 101264138, 78231511, 6324193, 88350989]"
216,300m,72,256,1,5,2.221120672941208,"[131520801, 22256055, 209620308, 182740574, 115072631]"
217,300m,72,256,1,5,2.221120672941208,"[29651365, 181530598, 283438531, 74957088, 260622019]"
218,300m,72,256,1,5,2.221120672941208,"[212001876, 260505673, 98852285, 62118408, 137043841]"
219,300m,72,256,1,5,2.221120672941208,"[8696237, 112356361, 152426640, 152569041, 287037603]"
220,300m,72,256,1,5,2.221120672941208,"[225365826, 215754056, 187544183, 280571589, 10298824]"
221,300m,72,256,1,5,2.221120672941208,"[138022694, 38336853, 278282486, 55619757, 71705776]"
222,300m,72,256,1,5,2.221120672941208,"[121838834, 75728776, 233360594, 66366604, 227178398]"
223,300m,72,256,1,5,2.221120672941208,"[244806872, 39179679, 62184164, 23305869, 190090106]"
224,300m,72,256,1,5,2.221120672941208,"[154837546, 142742184, 262616471, 142742176, 142742154]"
225,300m,72,256,1,5,2.221120672941208,"[204872419, 261717024, 108034951, 271403247, 208734272]"
226,300m,72,256,1,5,2.221120672941208,"[278009245, 200689784, 278009243, 277984274, 213097581]"
227,300m,72,256,1,5,2.221120672941208,"[70718408, 185309778, 234748239, 169715958, 190064966]"
228,300m,72,256,1,5,2.221120672941208,"[23241304, 297472075, 6267407, 23439075, 23197520]"
229,300m,72,256,1,5,2.221120672941208,"[165110528, 67586582, 99217799, 224393251, 86922233]"
230,300m,72,256,1,5,2.221120672941208,"[80636957, 3530994, 111052390, 73800392, 1847177]"
231,300m,72,256,1,5,2.221120672941208,"[89991653, 140059817, 168182756, 143005337, 80501965]"
232,300m,72,256,1,5,2.221120672941208,"[177909277, 147394442, 16811723, 91107562, 147394445]"
233,300m,72,256,1,5,2.221120672941208,"[26053698, 242431554, 239327738, 144211494, 126373020]"
234,300m,72,256,1,5,2.221120672941208,"[159770241, 267320803, 112874534, 98413529, 187169498]"
235,300m,72,256,1,5,2.221120672941208,"[207287074, 241399605, 260869230, 76527956, 263214848]"
236,300m,72,256,1,5,2.221120672941208,"[252807156, 71337707, 185251042, 12061169, 74285056]"
237,300m,72,256,1,5,2.221120672941208,"[146209864, 207416052, 19206867, 192562765, 244611117]"
238,300m,72,256,1,5,2.221120672941208,"[111866789, 258697845, 30828443, 190378584, 278139817]"
239,300m,72,256,1,5,2.221120672941208,"[47270806, 43884827, 164870846, 23305360, 166894662]"
240,300m,72,256,1,5,2.221120672941208,"[161715035, 133540438, 256199817, 226223345, 103825064]"
241,300m,72,256,1,5,2.221120672941208,"[142854679, 5729768, 220021585, 177368619, 143084785]"
