query,index_size,threads,nprobe,batch_size,num_retrieved_docs,avg_query_time
17408,300m,72,256,32,5,2.938233925819397
17440,300m,72,256,32,5,2.938233925819397
17472,300m,72,256,32,5,2.938233925819397
17504,300m,72,256,32,5,2.938233925819397
17536,300m,72,256,32,5,2.938233925819397
17568,300m,72,256,32,5,2.938233925819397
17600,300m,72,256,32,5,2.938233925819397
17632,300m,72,256,32,5,2.938233925819397
17664,300m,72,256,32,5,2.938233925819397
17696,300m,72,256,32,5,2.938233925819397
17728,300m,72,256,32,5,2.938233925819397
17760,300m,72,256,32,5,2.938233925819397
17792,300m,72,256,32,5,2.938233925819397
17824,300m,72,256,32,5,2.938233925819397
17856,300m,72,256,32,5,2.938233925819397
17888,300m,72,256,32,5,2.938233925819397
17920,300m,72,256,32,5,2.938233925819397
17952,300m,72,256,32,5,2.938233925819397
