query,index_size,threads,nprobe,batch_size,num_retrieved_docs,avg_query_time,best_retrieved_ids
121,600m,72,24494,1,10,188.16461491584778,"[259071515, 437317368, 44402102, 260956334, 144942406, 302150947, 144832277, 49842008, 453704331, 554918483]"
122,600m,72,24494,1,10,187.49729776382446,"[151534257, 516252519, 555103126, 554943677, 163988011, 151362101, 163988086, 516068926, 474583342, 104732148]"
123,600m,72,24494,1,10,187.6813588142395,"[300487777, 125950689, 421310323, 40487140, 328858424, 254397666, 422689440, 229073607, 40435091, 279238362]"
124,600m,72,24494,1,10,187.748384475708,"[103660910, 8926274, 329184696, 481986621, 533405593, 21483673, 84714582, 282465296, 130448488, 361491848]"
125,600m,72,24494,1,10,187.91239666938782,"[34453432, 336266842, 302401344, 281040931, 57728762, 280987203, 281027890, 388909153, 366064393, 379931463]"
126,600m,72,24494,1,10,187.59115481376648,"[330341623, 366296666, 204061776, 127648928, 1083858, 254193306, 490223820, 430444918, 545922598, 105410561]"
127,600m,72,24494,1,10,187.3772337436676,"[311001270, 20746912, 560340263, 560393293, 20746911, 273059429, 311001269, 20746913, 550733200, 201358112]"
128,600m,72,24494,1,10,187.807772397995,"[290366674, 41302095, 156219573, 434502349, 400160216, 330445947, 143893549, 576349399, 146982768, 338027635]"
129,600m,72,24494,1,10,187.61359119415283,"[448137091, 448392286, 472945285, 103233960, 112127662, 581710544, 508761575, 73854731, 81163651, 524087243]"
130,600m,72,24494,1,10,187.40845155715942,"[21237069, 475812945, 255385922, 485774954, 389692038, 571425930, 260386786, 73294531, 492891160, 571665627]"
131,600m,72,24494,1,10,187.63019609451294,"[146529876, 144843049, 381645569, 311725998, 302492227, 408493675, 101491833, 347325080, 159006861, 394239299]"
132,600m,72,24494,1,10,187.4123809337616,"[467942678, 119184862, 145186807, 420150266, 423604403, 173944238, 328870101, 407503550, 460645518, 394600789]"
133,600m,72,24494,1,10,187.47786712646484,"[27638381, 587063191, 108769008, 108837498, 278367015, 592511447, 267911998, 108837499, 504588209, 548699003]"
134,600m,72,24494,1,10,187.60160422325134,"[307960537, 143589485, 135549895, 4270688, 272760053, 107046204, 64887395, 55406213, 563820449, 385745949]"
135,600m,72,24494,1,10,187.6182894706726,"[67472639, 332916842, 17262987, 585545534, 366376880, 60621647, 353502752, 550299376, 268125021, 570277472]"
136,600m,72,24494,1,10,187.49465107917786,"[115678467, 138660787, 206547408, 322208855, 103505158, 575231737, 534529739, 549748325, 473893320, 231814885]"
137,600m,72,24494,1,10,188.49755907058716,"[120768413, 130690256, 567764785, 567693048, 574450670, 460885708, 134764221, 567700714, 583042124, 18580703]"
138,600m,72,24494,1,10,187.72467422485352,"[116889780, 315408916, 382484035, 177901450, 478663591, 267907949, 309213842, 357571673, 243556690, 116892332]"
139,600m,72,24494,1,10,186.79157090187073,"[181851759, 379011445, 558091414, 429357841, 555205646, 556446121, 537076483, 555205647, 166091208, 103833844]"
140,600m,72,24494,1,10,187.3347523212433,"[582402075, 172668992, 151201873, 535504318, 454047548, 204333902, 43870016, 542298378, 417872236, 314321643]"
141,600m,72,24494,1,10,187.2666847705841,"[537721664, 301553447, 256343955, 115983765, 413477262, 272254294, 416729267, 574874608, 211422803, 241895279]"
142,600m,72,24494,1,10,187.28303337097168,"[371828666, 371880725, 371883663, 195213819, 285267748, 195276034, 401566150, 132094197, 109876089, 144147132]"
143,600m,72,24494,1,10,187.75465154647827,"[568603293, 438474876, 108137780, 193237893, 324003770, 101591507, 431720465, 568595552, 581712249, 369049065]"
144,600m,72,24494,1,10,187.3888030052185,"[311197008, 28542321, 94886358, 470289830, 404809611, 61988430, 200639384, 467036186, 429555236, 491695155]"
145,600m,72,24494,1,10,187.08971428871155,"[466844055, 158241344, 564334797, 262786726, 142018225, 413989980, 570321692, 466939927, 313084790, 467090244]"
146,600m,72,24494,1,10,187.1839678287506,"[282835417, 576824951, 94479661, 198383382, 415237356, 469531690, 320993321, 557146566, 80184097, 187314933]"
147,600m,72,24494,1,10,187.7836389541626,"[325077166, 287336650, 95892057, 325077150, 395590594, 307944324, 28121729, 458270749, 408062500, 454406652]"
148,600m,72,24494,1,10,186.94638228416443,"[71280009, 546455453, 95635881, 400278764, 509200431, 163424852, 507441751, 163464817, 503261427, 510645792]"
149,600m,72,24494,1,10,187.02939081192017,"[541511178, 541511182, 194085273, 43236799, 541511183, 245424510, 194125449, 23781916, 270684300, 250027846]"
150,600m,72,24494,1,10,186.99709939956665,"[599850242, 132817667, 59680335, 564097636, 37010459, 195097925, 294937515, 318963254, 5860839, 409419718]"
151,600m,72,24494,1,10,186.96453762054443,"[579272775, 198792342, 119054950, 122498423, 428817812, 348551822, 140935518, 343321797, 334775338, 71588031]"
152,600m,72,24494,1,10,186.96651315689087,"[105570492, 435767109, 599941963, 276670669, 262073926, 559609191, 43820742, 466590980, 288540939, 313044219]"
153,600m,72,24494,1,10,187.03985285758972,"[90922693, 580125627, 531919694, 77621675, 534389565, 486877138, 384858625, 25465135, 486520327, 14364632]"
154,600m,72,24494,1,10,186.96443009376526,"[115100181, 262783279, 356919727, 272078802, 223545910, 228977617, 552611349, 67552775, 25488434, 85002289]"
155,600m,72,24494,1,10,186.92518854141235,"[227716460, 437534632, 563016460, 595899684, 528585632, 519476207, 401045029, 242093159, 345423960, 181561685]"
156,600m,72,24494,1,10,187.31108689308167,"[561574493, 538941863, 461504633, 2155163, 348526226, 304166265, 446030645, 194953949, 194960142, 215311216]"
157,600m,72,24494,1,10,187.06545162200928,"[477806359, 315167901, 217514137, 523159681, 22404047, 221715805, 519269859, 135075794, 502238607, 340048858]"
158,600m,72,24494,1,10,187.00657773017883,"[519835655, 538157273, 388304270, 388304272, 538157274, 232479446, 98895669, 538157276, 538157278, 318363603]"
159,600m,72,24494,1,10,186.83530473709106,"[238638162, 536122103, 355775384, 55088653, 292680052, 55032120, 206028040, 292557646, 485152205, 443901149]"
