query,searched_shard_ids,num_searched_shards,gpu_transfer_time,gpu_search_time,warmup_time,best_retrieved_ids,top_doc_shards
55,"[168, 233]",2,0.037095206789672375,0.016014888882637024,0.43313932546880096,"[458070540, 513243661, 130382454, 594712541, 175195938, 183829504, 194939389, 432589461, 175800336, 174017977]","[233, 168, 168, 233, 233, 233, 168, 168, 233, 168]"
56,"[75, 117, 171, 186, 200, 209]",6,0.06039432203397155,0.038950545247644186,0.21279830811545253,"[315279017, 385113286, 375332831, 294871918, 555713159, 76701081, 237920535, 448092594, 529403480, 369433639]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200]"
57,"[27, 32, 75, 117, 171, 186, 209, 224]",8,0.1325046308338642,0.06305308733135462,0.23761391721200198,"[76378574, 76484817, 23656741, 380720916, 509049685, 191970143, 365085081, 190191648, 9105535, 217333369]","[209, 209, 209, 209, 209, 117, 209, 209, 209, 171]"
58,"[45, 68, 84, 112, 167, 175, 183, 192, 216]",9,0.1735269296914339,0.06591396033763885,0.27936593412111205,"[41980406, 111790819, 185042547, 178362289, 185004784, 216094193, 46002466, 381452513, 167459149, 6575303]","[175, 183, 183, 68, 175, 183, 183, 183, 68, 68]"
59,"[20, 29, 39, 72, 96, 100, 106, 188, 194]",9,0.13235259940847754,0.08026829734444618,0.3386968785069055,"[243075382, 396834165, 204059607, 512336242, 118454427, 536945312, 53653208, 74068784, 321999975, 571257961]","[20, 39, 96, 20, 39, 20, 96, 72, 20, 72]"
60,"[5, 10, 95, 97, 161, 174, 175, 239]",8,0.20563392341136932,0.05058016534894705,0.23906891752267256,"[244841950, 334864192, 36085481, 430666173, 132249408, 319354255, 285556910, 364661104, 9331354, 9331376]","[95, 5, 5, 5, 5, 5, 5, 95, 95, 5]"
61,"[1, 4, 60, 99, 166, 174, 207, 233]",8,0.2144385389983654,0.04122485779225826,0.1799571147421375,"[88413698, 152291662, 87177381, 159637364, 30327201, 298353658, 284097329, 120467136, 305976241, 494487482]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
62,"[1, 39, 60, 84, 111, 112, 166, 168, 196, 233, 240]",11,0.3582962118089199,0.09164588758721948,0.37788324572399934,"[241629397, 494241502, 51434528, 12634834, 233619684, 8827094, 224387811, 456165206, 386719219, 207962499]","[1, 233, 240, 233, 233, 166, 233, 233, 166, 166]"
63,"[4, 6, 8, 37, 40, 59, 61, 75, 107, 112, 171, 183, 214]",13,0.20889425929635763,0.15404178388416767,0.24846228611512253,"[270401378, 52986331, 563690315, 484863943, 384131335, 445199962, 240595101, 184515490, 391016431, 308554181]","[6, 6, 6, 183, 6, 107, 107, 183, 6, 6]"
64,"[4, 6, 30, 75, 79, 91, 109, 146, 159, 186, 209, 224]",12,0.21550686424598098,0.07785961497575045,0.2447684481351947,"[217185418, 84066849, 548226198, 19059244, 589417302, 90439601, 263706156, 542243239, 118496477, 179532987]","[209, 209, 209, 186, 209, 209, 209, 209, 209, 209]"
65,"[33, 70, 105, 106, 108, 110, 112, 127, 192, 216, 231, 241, 244]",13,0.266580056399107,0.15508914878591895,0.30131247363841307,"[309629502, 476017269, 569973167, 539167825, 378719174, 381782764, 202778162, 451087032, 128958996, 303650615]","[108, 110, 110, 110, 110, 216, 216, 216, 110, 216]"
66,"[5, 10, 26, 49, 102, 132, 188, 241, 242]",9,0.11933702137321234,0.06133128609508276,0.24056832163801622,"[336735408, 508445146, 326899109, 202536818, 576003819, 261213950, 64707598, 212970604, 513033189, 374230920]","[242, 5, 241, 5, 5, 5, 5, 5, 242, 241]"
67,"[1, 10, 49, 81, 82, 93, 99, 132, 146, 196, 231]",11,0.226117885671556,0.08087418973445892,0.2285977479028092,"[386180863, 29988430, 89146024, 404410578, 160685693, 101976635, 343943364, 524727929, 29367947, 271081031]","[82, 82, 82, 82, 1, 82, 1, 81, 82, 82]"
